SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934785,STFC NCDI   ,F ,D,995.36,1017.20,995.36,1013.00,1013.00,1006.11,8,236,238263.00,
934787,STFC NCDIII ,F ,D,1261.99,1262.00,1261.99,1262.00,1262.00,1255.00,2,20,25239.00,
934811,STFNCD 1RES ,F ,D,1062.10,1068.00,1060.15,1066.00,1066.00,1067.51,9,342,363159.00,
934814,STFNCD 2RES ,F ,D,1033.00,1034.90,1033.00,1034.90,1034.90,1025.00,8,229,236748.00,
513151,STI INDIA LT,B ,Q,25.05,25.05,25.05,25.05,25.05,25.05,3,300,7515.00,
532730,STL GLOBAL  ,T ,Q,2.69,2.96,2.69,2.95,2.95,2.82,24,15155,42671.00,
512640,STOCK NET IN,T ,Q,0.94,0.98,0.94,0.98,0.98,0.98,9,1001,980.00,
522085,STONE INDIA ,B ,Q,34.70,36.60,32.65,34.45,34.45,33.95,1690,219794,7657486.00,
532679,STORE ONE   ,B ,Q,14.37,14.43,14.37,14.43,14.43,13.75,41,12511,180448.00,
504959,STOVAC IND. ,B ,Q,260.00,276.60,260.00,276.60,276.60,271.65,15,42,11468.00,
526500,STR GRE WOO ,B ,Q,10.50,10.50,10.00,10.37,10.00,10.75,2,200,2075.00,
532531,STRIDES     ,B ,Q,393.00,397.80,386.05,388.80,388.80,393.55,528,10770,4223245.00,
530611,STURDY INDS ,B ,Q,2.84,2.98,2.81,2.87,2.86,2.66,17,6775,19641.00,
526733,SUASHISH DIA,B ,Q,102.00,109.00,102.00,108.25,107.05,100.00,65,34375,3645149.00,
532348,SUBEX LTX   ,B ,Q,33.25,34.90,30.15,32.65,32.65,33.55,9956,1427925,47121559.00,
531866,SUBHKAM CAP ,T ,Q,109.00,114.20,104.00,106.00,106.00,108.80,62,11264,1217074.00,
517168,SUBROS LTD. ,B ,Q,21.60,24.45,21.60,23.35,23.20,22.25,47,210935,4572646.00,
506003,SUDAL INDUS ,B ,Q,21.70,22.45,21.00,21.00,21.00,21.75,4,300,6388.00,
533332,SUDAR GARM  ,B ,Q,62.00,66.70,61.05,63.55,63.55,59.75,2068,165989,10572950.00,
506655,SUDARSH.CHEM,B ,Q,550.00,562.90,540.00,559.35,562.90,542.80,14,312,173615.00,
511654,SUGAL DAM   ,B ,Q,8.71,8.71,8.71,8.71,8.71,8.30,11,5000,43550.00,
517224,SUJANA INDUS,B ,Q,3.52,3.64,3.40,3.43,3.41,3.52,114,62467,218750.00,
513414,SUJANA METAL,B ,Q,3.95,3.95,3.67,3.74,3.74,3.74,378,240732,921653.00,
532887,SUJANATOWER ,B ,Q,7.66,7.99,7.66,7.96,7.96,7.61,746,796685,6293679.00,
524542,SUKJIT STRCH,B ,Q,188.75,189.00,180.50,185.85,186.00,179.10,30,433,79970.00,
508969,SULABH ENG. ,T ,Q,16.23,16.23,16.23,16.23,16.23,15.92,1,50,811.00,
530419,SUMEDHA FISC,B ,Q,13.24,13.24,12.65,12.71,12.71,12.95,10,1210,15392.00,
514211,SUMEET INDS.,B ,Q,23.25,24.75,23.25,24.00,23.95,23.35,190,25209,612073.00,
530445,SUMERU IND  ,B ,Q,0.33,0.33,0.33,0.33,0.33,0.33,4,1250,412.00,
533306,SUMMIT SECU ,B ,Q,72.00,72.00,68.70,71.75,71.75,68.30,18,6255,436530.00,
524715,SUN PHARMA. ,A ,Q,507.90,520.00,506.10,516.05,516.05,505.60,2085,117072,60474021.00,
531752,SUN TECHNO  ,B ,Q,0.32,0.38,0.32,0.32,0.32,0.35,4,2100,707.00,
532733,SUN TVNET   ,A ,Q,276.15,282.10,275.00,278.80,278.80,275.50,798,32684,9144238.00,
520056,SUNDAR.CLAY ,B ,Q,152.25,160.35,148.30,155.90,155.90,154.40,49,885,136324.00,
590072,SUNDARAM BRK,B ,Q,165.00,172.50,165.00,171.50,171.50,163.95,59,691,118058.00,
500403,SUNDARAM FAS,B ,Q,48.25,51.45,48.10,48.75,48.75,48.75,225,17831,872902.00,
590071,SUNDARAM FIN,B ,Q,520.00,528.00,515.70,523.30,528.00,525.95,27,1655,863999.00,
533166,SUNDARAMMUL ,B ,Q,49.50,49.50,46.95,47.95,47.95,47.90,255,169356,8040825.00,
500404,SUNFLAG IRON,B ,Q,21.75,23.40,21.50,22.45,22.45,21.40,254,30289,687104.00,
531433,SUNGOLD CAP.,T ,Q,14.50,14.77,14.00,14.69,14.77,14.07,155,47638,701551.00,
532711,SUNIL HITECH,B ,Q,68.05,72.00,68.05,69.55,69.55,67.25,518,31647,2237193.00,
531945,SUNITEE CHEM,B ,Q,0.21,0.22,0.21,0.21,0.21,0.22,6,68500,14885.00,
531295,SUNLAKE     ,T ,Q,30.25,33.35,30.25,33.25,33.35,31.80,21,16500,540040.00,
532872,SUNPHA ADV  ,B ,Q,78.90,80.95,78.40,80.10,80.10,77.95,866,62508,4983247.00,
530845,SUNSHIELD CH,B ,Q,45.50,45.50,39.25,41.70,41.70,41.85,30,1218,51205.00,
512179,SUNTECK REAL,B ,Q,307.75,316.00,246.45,257.30,257.30,308.00,1318,61685,17120108.00,
530883,SUPER CROP. ,B ,Q,22.75,24.45,22.75,24.45,24.45,23.05,54,6214,145318.00,
523283,SUPER HOUSE ,T ,Q,46.50,46.65,44.00,46.60,46.60,44.45,82,16869,780041.00,
512527,SUPER SAL IN,B ,Q,140.00,143.00,138.00,140.00,140.00,141.50,94,900,125258.00,
521180,SUPER SPIN. ,B ,Q,7.00,8.40,7.00,8.00,8.00,7.00,112,22379,174272.00,
523842,SUPER TANNER,B ,Q,2.01,2.10,2.00,2.10,2.10,2.00,9,8132,16967.00,
